YEAR,CODE,NAME,Average_Rainfall
2021,AE,United Arab Emirates,0.0
2021,AF,Afghanistan,33.2
2021,AG,Algeria,8.560311856428362
2021,AJ,Azerbaijan,113.14343928280358
2021,AM,Armenia,30.640529531568227
2021,AO,Angola,124.04
2021,AQ,American Samoa [United States],104.43429487179488
2021,AR,Argentina,65.11223344556677
2021,AS,Australia,26.269825840856242
2021,AU,Austria,89.35034013605443
2021,AY,Antarctica,19.531794248683678
2021,BA,Bahrain,0.7272727272727273
2021,BC,Botswana,59.254980079681275
2021,BD,Bermuda [United Kingdom],49.02717391304348
2021,BE,Belgium,31.514150943396228
2021,BF,"Bahamas, The",21.066941297631306
2021,BG,Bangladesh,0.0
2021,BH,Belize,31.844660194174757
2021,BK,Bosnia and Herzegovina,30.82608695652174
2021,BL,Bolivia,91.34436008676789
2021,BM,Burma,156.20857142857142
2021,BN,Benin,77.55807365439094
2021,BO,Belarus,39.39698492462311
2021,BP,Solomon Islands,72.14333333333333
2021,BR,Brazil,64.20454545454545
2021,BU,Bulgaria,20.59334126040428
2021,BX,Brunei,115.58235294117647
2021,CA,Canada,19.294150588915382
2021,CB,Cambodia,100.5
2021,CD,Chad,91.62650602409639
2021,CE,Sri Lanka,42.317246835443036
2021,CF,Congo (Brazzaville),90.43416927899686
2021,CG,Congo (Kinshasa),108.5
2021,CH,China,24.0640586911682
2021,CI,Chile,12.433831990794015
2021,CJ,Cayman Islands [United Kingdom],33.25
2021,CM,Cameroon,98.76724137931035
2021,CQ,Northern Mariana Islands [United States],51.10409556313993
2021,CS,Costa Rica,121.94594594594595
2021,CT,Central African Republic,84.95959595959596
2021,CU,Cuba,25.0
2021,CV,Cape Verde,272.8
2021,CW,Cook Islands [New Zealand],58.992592592592594
2021,CY,Cyprus,3.27363184079602
